[02.05.2025 23:24:18] 87.250.251.92:443 -> 192.168.0.15:64421, Seq=1542745015, Флаги=24
[02.05.2025 23:24:18] 87.250.251.92:443 -> 192.168.0.15:64421, Seq=1542745046, Флаги=17
[02.05.2025 23:24:18] 142.250.150.198:443 -> 192.168.0.15:64649, Seq=2081843754, Флаги=18
[02.05.2025 23:24:18] 192.168.0.15:64421 -> 87.250.251.92:443, Seq=1700537364, Флаги=20
[02.05.2025 23:24:18] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215972743, Флаги=16
[02.05.2025 23:24:18] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215972743, Флаги=16
[02.05.2025 23:24:18] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215974155, Флаги=24
[02.05.2025 23:24:18] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775300, Флаги=16
[02.05.2025 23:24:18] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215973088, Флаги=24
[02.05.2025 23:24:18] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215972743, Флаги=16
[02.05.2025 23:24:19] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215972743, Флаги=16
[02.05.2025 23:24:20] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215972743, Флаги=16
[02.05.2025 23:24:21] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205933740, Флаги=2
[02.05.2025 23:24:21] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819568149, Флаги=18
[02.05.2025 23:24:21] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205933741, Флаги=16
[02.05.2025 23:24:21] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205933741, Флаги=24
[02.05.2025 23:24:21] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819568150, Флаги=16
[02.05.2025 23:24:21] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819568150, Флаги=24
[02.05.2025 23:24:21] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205934380, Флаги=24
[02.05.2025 23:24:21] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205934386, Флаги=24
[02.05.2025 23:24:21] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205934460, Флаги=24
[02.05.2025 23:24:21] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819568375, Флаги=16
[02.05.2025 23:24:21] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819568375, Флаги=16
[02.05.2025 23:24:21] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819568375, Флаги=16
[02.05.2025 23:24:21] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819568375, Флаги=24
[02.05.2025 23:24:21] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819568554, Флаги=24
[02.05.2025 23:24:21] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205934705, Флаги=16
[02.05.2025 23:24:22] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215972743, Флаги=16
[02.05.2025 23:24:22] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412319, Флаги=24
[02.05.2025 23:24:22] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417065, Флаги=24
[02.05.2025 23:24:22] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417085, Флаги=24
[02.05.2025 23:24:22] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412339, Флаги=16
[02.05.2025 23:24:22] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412339, Флаги=24
[02.05.2025 23:24:22] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417105, Флаги=16
[02.05.2025 23:24:24] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875384909, Флаги=24
[02.05.2025 23:24:24] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356115263, Флаги=16
[02.05.2025 23:24:24] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356115263, Флаги=24
[02.05.2025 23:24:25] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875385014, Флаги=16
[02.05.2025 23:24:25] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875385014, Флаги=24
[02.05.2025 23:24:25] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356115624, Флаги=16
[02.05.2025 23:24:26] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205934705, Флаги=24
[02.05.2025 23:24:26] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205934745, Флаги=24
[02.05.2025 23:24:26] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205934785, Флаги=17
[02.05.2025 23:24:26] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819569343, Флаги=16
[02.05.2025 23:24:26] 108.157.229.40:443 -> 192.168.0.15:64651, Seq=819569343, Флаги=17
[02.05.2025 23:24:26] 192.168.0.15:64651 -> 108.157.229.40:443, Seq=4205934786, Флаги=16
[02.05.2025 23:24:26] 192.168.0.15:64654 -> 192.168.0.13:7680, Seq=1752784806, Флаги=2
